EVENT_ID,STATE,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
135224,MISSISSIPPI,2008,September,EF0,,-90.8105,,-90.8024,0,0,0,0,0.00K
103779,KANSAS,2008,May,EF0,,-100.2757,,-100.2564,0,0,0,0,0.00K
103780,COLORADO,2008,May,EF0,,-102.0492,,-102.0492,0,0,0,0,0.00K
108284,SOUTH DAKOTA,2008,May,EF0,,-101.1,,-101.0976,0,0,0,0,0.00K
108317,SOUTH DAKOTA,2008,May,EF0,,-101.0276,,-101.0252,0,0,0,0,0.00K
108347,SOUTH DAKOTA,2008,May,EF0,,-101.0054,,-100.9671,0,0,0,0,0.00K
98866,VIRGINIA,2008,May,EF1,,-78.697,,-78.6917,0,0,0,0,25.00K
95098,TENNESSEE,2008,May,EF1,,-87.4868,,-87.4526,0,0,0,0,50.00K
95117,TENNESSEE,2008,May,EF0,,-86.9564,,-86.9421,0,0,0,0,
82380,ALABAMA,2008,February,EF1,,-86.7004,,-86.646,0,0,0,0,250.00K
105607,IOWA,2008,May,EF0,,-96.236,,-96.236,0,0,0,0,0.00K
105611,IOWA,2008,May,EF2,,-96.3,,-96.3787,0,0,0,0,0.50M
105617,IOWA,2008,May,EF0,,-96.1902,,-96.1902,0,0,0,0,0.00K
101643,LOUISIANA,2008,May,EF1,,-90.2297,,-90.1456,0,0,0,0,50.00K
105618,IOWA,2008,May,EF0,,-96.0398,,-96.0398,0,0,0,0,0.00K
137979,FLORIDA,2008,August,EF0,,-81.776,,-81.7758,0,0,0,0,12.00K
93464,NORTH CAROLINA,2008,April,EF1,,-81.523,,-81.463,0,0,0,0,25.00K
98642,MISSISSIPPI,2008,April,EF1,,-89.0711,,-88.9767,1,0,0,0,3.00M
93465,NORTH CAROLINA,2008,April,EF1,,-81.463,,-81.453,0,0,0,0,0.00K
96071,NORTH CAROLINA,2008,April,EF1,,-81.354,,-81.28,0,0,0,0,130.00K
88558,OKLAHOMA,2008,March,EF0,,-95.65,,-95.65,0,0,0,0,125.00K
88561,OKLAHOMA,2008,March,EF0,,-95.6484,,-95.6341,0,0,0,0,5.00K
101721,COLORADO,2008,June,EF0,,-102.4512,,-102.4512,0,0,0,0,0.00K
101717,COLORADO,2008,June,EF0,,-102.35,,-102.35,0,0,0,0,0.00K
101722,COLORADO,2008,June,EF0,,-102.5957,,-102.5957,0,0,0,0,0.00K
101725,COLORADO,2008,June,EF0,,-102.7602,,-102.7602,0,0,0,0,0.00K
98223,MISSISSIPPI,2008,April,EF1,,-89.5839,,-89.5612,0,0,0,0,160.00K
98590,MISSISSIPPI,2008,April,EF1,,-89.324,,-89.2773,0,0,0,0,100.00K
104303,LOUISIANA,2008,May,EF0,,-90.666,,-90.666,0,0,0,0,0.00K
105620,IOWA,2008,May,EF0,,-95.87,,-95.87,0,0,0,0,0.00K
98211,MISSISSIPPI,2008,April,EF1,,-90.3858,,-90.3318,0,0,0,0,450.00K
98216,MISSISSIPPI,2008,April,EF1,,-89.73,,-89.6596,0,0,0,0,80.00K
98210,MISSISSIPPI,2008,April,EF1,,-90.5383,,-90.4889,0,0,0,0,3.00K
98220,MISSISSIPPI,2008,April,EF1,,-89.73,,-89.6982,0,0,0,0,50.00K
107222,VIRGINIA,2008,May,EF0,,-77.2705,,-77.2488,0,0,0,0,50.00K
104808,COLORADO,2008,June,EF0,,-102.7417,,-102.7417,0,0,0,0,0.00K
104814,COLORADO,2008,June,EF0,,-102.23,,-102.23,0,0,0,0,0.00K
103320,NORTH CAROLINA,2008,May,EF1,,-76.6873,,-76.6451,0,0,0,0,20.00K
103340,NORTH CAROLINA,2008,May,EF0,,-76.2575,,-76.2575,0,0,0,0,15.00K
106441,NEBRASKA,2008,June,EF0,,-100.6334,,-100.6334,0,0,0,0,0.00K
101634,MISSISSIPPI,2008,May,EF1,,-90.9225,,-90.8104,0,0,0,0,20.00K
95481,WEST VIRGINIA,2008,May,EF0,,-79.5168,,-79.494,1,0,0,0,75.00K
103907,MISSISSIPPI,2008,May,EF1,,-89.3483,,-89.1551,0,0,0,0,700.00K
101438,MISSISSIPPI,2008,May,EF0,,-91.11,,-91.099,0,0,0,0,0.00K
101628,LOUISIANA,2008,May,EF0,,-91.8378,,-91.8011,0,0,0,0,0.00K
105619,TEXAS,2008,May,EF0,,-101.5656,,-101.5573,0,0,0,0,0.00K
89258,GEORGIA,2008,May,EF0,,-82.23,,-82.053,0,0,0,0,56.00K
89292,SOUTH CAROLINA,2008,May,EF1,,-81.184,,-80.97,0,0,0,0,
71320,TEXAS,2008,February,EF1,,-95.0635,,-95.0569,0,0,0,0,30.00K
79692,SOUTH CAROLINA,2008,April,EF0,,-81.642,,-81.723,0,0,0,0,10.00K
86912,SOUTH CAROLINA,2008,May,EF0,,-81.4985,,-81.37,0,0,0,0,
75701,MISSISSIPPI,2008,January,EF1,,-88.4811,,-88.4497,0,0,0,0,30.00K
75703,MISSISSIPPI,2008,January,EF0,,-88.3984,,-88.387,0,0,0,0,0.00K
88212,MISSISSIPPI,2008,March,EF1,,-89.8879,,-89.8828,0,0,0,0,5.00K
79540,GEORGIA,2008,February,EF1,,-84.093,,-83.9713,8,0,0,0,550.00K
78158,KENTUCKY,2008,February,EF0,,-85.0512,,-85.0467,0,0,0,0,60.00K
85469,LOUISIANA,2008,March,EF0,,-93.0248,,-93.0054,0,0,0,0,1.00K
85472,OKLAHOMA,2008,March,EF1,,-95.047,,-94.9661,0,0,0,0,10.00K
91990,NORTH CAROLINA,2008,April,EF0,,-77.5671,,-77.5671,0,0,0,0,0.00K
93429,MARYLAND,2008,April,EF1,,-76.9847,,-76.9868,0,0,0,0,40.00K
80215,KENTUCKY,2008,February,EF2,,-86.0125,,-85.8848,0,0,0,0,3.00M
80216,KENTUCKY,2008,February,EF2,,-85.7759,,-85.7596,0,0,0,0,150.00K
78580,ARKANSAS,2008,January,EF0,,-94.2081,,-94.2081,0,0,0,0,0.00K
78582,ARKANSAS,2008,January,EF1,,-94.5181,,-94.4754,0,0,0,0,0.00K
80675,MONTANA,2008,April,EF0,,-114.3423,,-114.3423,0,0,0,0,0.00K
80218,KENTUCKY,2008,February,EF2,,-85.0649,,-85.0478,0,0,0,0,15.00K
78584,OKLAHOMA,2008,January,EF0,,-94.6207,,-94.6207,0,0,0,0,0.00K
93425,MARYLAND,2008,April,EF0,,-76.8687,,-76.884,0,0,0,0,50.00K
79065,KENTUCKY,2008,February,EF2,,-85.3812,,-85.3763,2,0,0,0,250.00K
81916,MISSISSIPPI,2008,February,EF1,,-89.8812,,-89.8359,0,0,0,0,200.00K
92048,NORTH CAROLINA,2008,April,EF0,,-76.99,,-76.9888,0,0,0,0,0.00K
92051,NORTH CAROLINA,2008,April,EF0,,-77.1,,-77.0972,0,0,0,0,0.00K
82166,MISSISSIPPI,2008,February,EF0,,-89.459,,-89.45,0,0,0,0,25.00K
78587,OKLAHOMA,2008,January,EF0,,-95.4947,,-95.4947,0,0,0,0,0.00K
78588,OKLAHOMA,2008,January,EF0,,-95.3105,,-95.2764,0,0,0,0,0.00K
88432,MISSISSIPPI,2008,March,EF0,,-88.57,,-88.5577,0,0,0,0,55.00K
79042,KENTUCKY,2008,February,EF0,,-85.4187,,-85.4089,0,0,0,0,150.00K
79059,KENTUCKY,2008,February,EF2,,-85.6326,,-85.6098,0,0,0,0,50.00K
88301,MISSISSIPPI,2008,March,EF0,,-89.3226,,-89.3197,0,0,0,0,0.00K
85468,LOUISIANA,2008,March,EF0,,-93.452,,-93.4659,0,0,0,0,15.00K
79072,KENTUCKY,2008,February,EF1,,-84.8121,,-84.771,0,0,0,0,250.00K
88215,MISSISSIPPI,2008,March,EF1,,-89.7666,,-89.7553,0,0,0,0,300.00K
78579,ARKANSAS,2008,January,EF0,,-94.33,,-94.33,0,0,0,0,0.00K
82439,GEORGIA,2008,February,EF0,,-84.4789,,-84.4789,0,0,0,0,5.00K
88437,MISSISSIPPI,2008,March,EF1,,-89.2265,,-89.2105,14,0,0,0,1.50M
97934,VIRGINIA,2008,April,EF0,,-76.4515,,-76.4085,0,0,0,0,5.00K
90790,ALABAMA,2008,March,EF2,,-86.4459,,-86.3538,0,0,0,0,960.00K
97125,IDAHO,2008,April,EF0,,-114.23,,-114.23,0,0,0,0,1.00K
93917,LOUISIANA,2008,April,EF1,,-92.501,,-92.377,1,0,0,0,0.00K
88887,ILLINOIS,2008,March,EF0,,-90.3452,,-90.3124,0,0,0,0,
97721,ILLINOIS,2008,April,EF0,,-91.28,,-91.2775,0,0,0,0,20.00K
97723,ILLINOIS,2008,April,EF0,,-91.236,,-91.227,0,0,0,0,30.00K
98712,VIRGINIA,2008,May,EF2,,-77.5225,,-77.4715,0,0,0,0,10.00M
98711,VIRGINIA,2008,May,EF0,,-78.8388,,-78.8362,0,0,0,0,50.00K
99425,NEBRASKA,2008,June,EF0,,-96.6024,,-96.603,0,0,0,0,0.00K
93863,LOUISIANA,2008,April,EF1,,-92.79,,-92.693,0,0,0,0,25.00K
90793,ALABAMA,2008,March,EF2,,-85.6295,,-85.5674,0,0,0,0,75.00K
97134,LOUISIANA,2008,April,EF0,,-92.2544,,-92.1756,0,0,0,0,20.00K
97359,VIRGINIA,2008,April,EF1,,-77.4267,,-77.3985,0,0,0,0,15.00K
97643,VIRGINIA,2008,April,EF1,,-76.9715,,-76.9504,0,0,0,0,74.00K
97826,VIRGINIA,2008,April,EF1,,-76.8713,,-76.8293,0,0,0,0,184.00K
97847,VIRGINIA,2008,April,EF1,,-76.3681,,-76.3637,0,0,0,0,50.00K
93440,VIRGINIA,2008,April,EF0,,-78.2851,,-78.2817,0,0,0,0,40.00K
137177,COLORADO,2008,August,EF0,,-103.65,,-103.65,0,0,0,0,0.00K
86975,WYOMING,2008,May,EF0,,-106.3181,,-106.3181,0,0,0,0,0.00K
126279,MISSOURI,2008,July,EF0,,-92.9866,,-92.9031,0,0,0,0,0.00K
126786,IDAHO,2008,July,EF0,,-114.46,,-114.46,0,0,0,0,0.00K
126545,MICHIGAN,2008,July,EF0,,-84.77,,-84.77,0,0,0,0,
125410,PENNSYLVANIA,2008,July,EF0,,-80.0645,,-80.0636,0,0,0,0,
96248,TEXAS,2008,April,EF0,,-100.8127,,-100.8114,0,0,0,0,0.00K
95912,OKLAHOMA,2008,April,EF0,,-95.7,,-95.7,0,0,0,0,0.00K
95914,OKLAHOMA,2008,April,EF0,,-94.9825,,-94.9825,0,0,0,0,1.00K
95915,OKLAHOMA,2008,April,EF0,,-94.4823,,-94.4823,0,0,0,0,0.00K
95917,OKLAHOMA,2008,April,EF2,,-94.8075,,-94.77,0,0,0,0,100.00K
93994,TEXAS,2008,April,EF2,,-94.2351,,-94.1929,1,0,0,0,1.00M
95918,OKLAHOMA,2008,April,EF2,,-94.5393,,-94.5049,0,0,0,0,50.00K
93982,OKLAHOMA,2008,April,EF0,,-95.0368,,-95.0196,0,0,0,0,0.00K
93985,OKLAHOMA,2008,April,EF0,,-94.813,,-94.7984,0,0,0,0,0.00K
83849,LOUISIANA,2008,February,EF0,,-90.3039,,-90.3039,0,0,0,0,8.00K
84000,LOUISIANA,2008,February,EF1,,-90.5,,-90.4881,0,0,1,0,25.00K
84002,LOUISIANA,2008,February,EF0,,-89.95,,-89.95,0,0,0,0,0.00K
84007,LOUISIANA,2008,February,EF0,,-90.75,,-90.75,0,0,0,0,0.00K
83846,LOUISIANA,2008,February,EF0,,-89.9986,,-89.9944,0,0,0,0,20.00K
77582,MISSISSIPPI,2008,January,EF1,,-88.2335,,-88.1896,0,0,0,0,25.00K
84019,MISSISSIPPI,2008,February,EF0,,-89.1512,,-89.1512,0,0,0,0,0.00K
84022,MISSISSIPPI,2008,February,EF0,,-90.3346,,-90.3346,0,0,0,0,0.00K
85709,FLORIDA,2008,February,EF0,,-81.0857,,-81.0764,0,0,0,0,2.00K
84011,LOUISIANA,2008,February,EF0,,-90.47,,-90.47,0,0,0,0,0.00K
134490,FLORIDA,2008,August,EF0,,-80.2187,,-80.2185,0,0,0,0,20.00K
134492,FLORIDA,2008,August,EF0,,-80.3665,,-80.3674,0,0,0,0,10.00K
88709,MISSISSIPPI,2008,March,EF1,,-90.7793,,-90.7793,0,0,0,0,150.00K
118778,GEORGIA,2008,June,EF1,,-81.07,,-81.07,0,0,0,0,3.10M
125712,NEBRASKA,2008,August,EF0,,-102.3054,,-102.3009,0,0,0,0,0.00K
123358,IOWA,2008,July,EF0,,-96.45,,-96.445,0,0,0,0,0.00K
125670,NEBRASKA,2008,August,EF0,,-100.32,,-100.32,0,0,0,0,0.00K
101233,KANSAS,2008,July,EF0,,-101.4379,,-101.4379,0,0,0,0,0.00K
123031,MINNESOTA,2008,July,EF0,,-95.5006,,-95.495,0,0,0,0,0.00K
112399,MISSOURI,2008,June,EF0,,-94.3343,,-94.3108,2,0,0,0,25.00K
108604,MISSOURI,2008,June,EF1,,-92.9131,,-92.8159,0,0,0,0,10.00K
116955,SOUTH DAKOTA,2008,June,EF0,,-97.1,,-97.07,0,0,0,0,0.00K
116958,SOUTH DAKOTA,2008,June,EF1,,-96.69,,-96.68,0,0,0,0,10.00K
90612,GEORGIA,2008,March,EF2,,-81.2,,-81.2,0,0,0,0,3.00M
110575,VIRGINIA,2008,June,EF0,,-77.72,,-77.62,0,0,0,0,15.00K
113117,OKLAHOMA,2008,June,EF0,,-96.1425,,-96.1123,0,0,0,0,15.00K
113125,OKLAHOMA,2008,June,EF0,,-95.15,,-95.15,0,0,0,0,0.00K
104143,VIRGINIA,2008,June,EF0,,-77.9,,-77.84,0,0,0,0,15.00K
98071,OHIO,2008,May,EF0,,-83.78,,-83.7804,0,0,0,0,5.00K
98073,OHIO,2008,May,EF0,,-83.7169,,-83.7166,0,0,0,0,1.00K
104136,VIRGINIA,2008,June,EF1,,-78.04,,-78.03,0,0,0,0,20.00K
89695,NORTH CAROLINA,2008,March,EF0,,-80.4957,,-80.4957,0,0,0,0,15.00K
110577,VIRGINIA,2008,June,EF1,,-77.63,,-77.57,0,0,0,0,25.00K
123765,ILLINOIS,2008,June,EF0,,-88.91,,-88.909,0,0,0,0,
118400,VIRGINIA,2008,July,EF0,,-77.5394,,-77.5137,0,0,0,0,50.00K
118402,VIRGINIA,2008,July,EF0,,-78.167,,-78.1494,0,0,0,0,15.00K
120667,SOUTH CAROLINA,2008,August,EF0,,-81.3983,,-81.33,0,0,0,0,5.00K
